i,j,value
-19,10,0.0012683
-19,11,0.00122392
-19,12,0.00117671
-19,13,0.00112684
-19,14,0.00107446
-19,15,0.00101975
-19,16,0.000962865
-19,17,0.000903983
-19,18,0.000843274
-19,19,0.000780913
-19,20,0.000717071
-19,21,0.000651923
-19,22,0.000585642
-19,23,0.0005184
-19,24,0.000450368
-19,25,0.000381717
-19,26,0.000312614
-19,27,0.000243227
-19,28,0.000173722
-19,29,0.000104262
-19,30,3.50103e-05
-19,31,0
-18,-31,0
-18,-30,0.000127595
-18,-29,0.000211926
-18,-28,0.00029524
-18,-27,0.000377354
-18,-26,0.000458084
-18,-25,0.000537252
-18,-24,0.000614677
-18,-23,0.000690182
-18,-22,0.000763592
-18,-21,0.000834735
-18,-20,0.00090344
-18,-19,0.000969541
-18,-18,0.00103287
-18,-17,0.00109328
-18,-16,0.00115062
-18,-15,0.00120473
-18,-14,0.00125548
-18,-13,0.00130273
-18,-12,0.00134637
-18,-11,0.00138629
-18,-10,0.00142236
-18,-9,0.0014545
-18,-8,0.00148261
-18,-7,0.00150657
-18,-6,0.00152626
-18,-5,0.00154157
-18,-4,0.00155244
-18,-3,0.00155889
-18,-2,0.00156111
-18,-1,0.00155937
-18,0,0.00155396
-18,1,0.00154501
-18,2,0.00153249
-18,3,0.00151621
-18,4,0.00149599
-18,5,0.00147175
-18,6,0.00144355
-18,7,0.00141155
-18,8,0.00137593
-18,9,0.00133691
-18,10,0.00129466
-18,11,0.00124936
-18,12,0.00120117
-18,13,0.00115026
-18,14,0.00109679
-18,15,0.00104093
-18,16,0.000982864
-18,17,0.000922751
-18,18,0.000860774
-18,19,0.000797107
-18,20,0.000731928
-18,21,0.000665415
-18,22,0.000597744
-18,23,0.00052909
-18,24,0.000459629
-18,25,0.000389535
-18,26,0.00031898
-18,27,0.000248135
-18,28,0.00017717
-18,29,0.000106251
-18,30,3.55456e-05
-18,31,0
-17,-31,0
-17,-30,0.000129127
-17,-29,0.000214312
-17,-28,0.000298466
-17,-27,0.000381403
-17,-26,0.00046294
-17,-25,0.000542894
-17,-24,0.000621083
-17,-23,0.000697328
-17,-22,0.000771452
-17,-21,0.000843281
-17,-20,0.000912644
-17,-19,0.000979371
-17,-18,0.0010433
-17,-17,0.00110427
-17,-16,0.00116213
-17,-15,0.00121674
-17,-14,0.00126794
-17,-13,0.00131562
-17,-12,0.00135964
-17,-11,0.00139989
-17,-10,0.00143625
-17,-9,0.00146856
-17,-8,0.00149665
-17,-7,0.0015202
-17,-6,0.00153881
-17,-5,0.00155204
-17,-4,0.00155965
-17,-3,0.00156189
-17,-2,0.0015597
-17,-1,0.00155455
-17,0,0.00154779
-17,1,0.00154001
-17,2,0.00153073
-17,3,0.00151868
-17,4,0.00150251
-17,5,0.00148136
-17,6,0.00145508
-17,7,0.00142399
-17,8,0.00138864
-17,9,0.00134949
-17,10,0.00130693
-17,11,0.00126123
-17,12,0.00121259
-17,13,0.0011612
-17,14,0.00110722
-17,15,0.00105083
-17,16,0.000992203
-17,17,0.000931514
-17,18,0.000868941
-17,19,0.00080466
-17,20,0.000738852
-17,21,0.000671694
-17,22,0.000603367
-17,23,0.000534046
-17,24,0.000463909
-17,25,0.000393133
-17,26,0.00032189
-17,27,0.000250355
-17,28,0.000178698
-17,29,0.000107089
-17,30,3.56965e-05
-17,31,0
-16,-31,0
-16,-30,0.000129272
-16,-29,0.000214395
-16,-28,0.000298485
-16,-27,0.000381356
-16,-26,0.000462822
-16,-25,0.000542702
-16,-24,0.000620813
-16,-23,0.000696977
-16,-22,0.000771017
-16,-21,0.000842758
-16,-20,0.000912029
-16,-19,0.000978663
-16,-18,0.0010425
-16,-17,0.00110337
-16,-16,0.00116113
-16,-15,0.00121564
-16,-14,0.00126674
-16,-13,0.00131432
-16,-12,0.00135824
-16,-11,0.00139835
-16,-10,0.00143448
-16,-9,0.00146629
-16,-8,0.00149313
-16,-7,0.00151383
-16,-6,0.00152666
-16,-5,0.00152967
-16,-4,0.00152178
-16,-3,0.00150428
-16,-2,0.00148168
-16,-1,0.00146083
-16,0,0.00144815
-16,1,0.00144627
-16,2,0.00145266
-16,3,0.00146101
-16,4,0.00146455
-16,5,0.00145887
-16,6,0.00144279
-16,7,0.00141746
-16,8,0.00138493
-16,9,0.00134701
-16,10,0.00130494
-16,11,0.00125943
-16,12,0.0012109
-16,13,0.00115959
-16,14,0.00110569
-16,15,0.00104938
-16,16,0.000990828
-16,17,0.000930219
-16,18,0.000867726
-16,19,0.000803526
-16,20,0.0007378
-16,21,0.000670724
-16,22,0.000602477
-16,23,0.000533238
-16,24,0.000463183
-16,25,0.000392488
-16,26,0.000321327
-16,27,0.000249873
-16,28,0.000178298
-16,29,0.000106772
-16,30,3.54628e-05
-16,31,0
-15,-31,0
-15,-30,0.000128034
-15,-29,0.000212185
-15,-28,0.000295312
-15,-27,0.000377228
-15,-26,0.000457752
-15,-25,0.000536701
-15,-24,0.000613898
-15,-23,0.000689163
-15,-22,0.000762323
-15,-21,0.000833205
-15,-20,0.000901639
-15,-19,0.000967462
-15,-18,0.00103051
-15,-17,0.00109063
-15,-16,0.00114767
-15,-15,0.00120149
-15,-14,0.00125194
-15,-13,0.0012989
-15,-12,0.0013422
-15,-11,0.00138164
-15,-10,0.00141672
-15,-9,0.00144635
-15,-8,0.00146805
-15,-7,0.00147715
-15,-6,0.00146646
-15,-5,0.00142795
-15,-4,0.00135719
-15,-3,0.00125958
-15,-2,0.0011541
-15,-1,0.00106961
-15,0,0.00103296
-15,1,0.00105518
-15,2,0.00112535
-15,3,0.0012167
-15,4,0.00130048
-15,5,0.00135779
-15,6,0.00138334
-15,7,0.00138164
-15,8,0.00136081
-15,9,0.00132812
-15,10,0.00128831
-15,11,0.00124393
-15,12,0.00119614
-15,13,0.0011455
-15,14,0.00109226
-15,15,0.00103663
-15,16,0.000978793
-15,17,0.000918917
-15,18,0.000857177
-15,19,0.000793751
-15,20,0.000728813
-15,21,0.000662541
-15,22,0.00059511
-15,23,0.000526697
-15,24,0.000457477
-15,25,0.000387623
-15,26,0.000317309
-15,27,0.000246705
-15,28,0.000175982
-15,29,0.000105307
-15,30,3.48484e-05
-15,31,0
-14,-31,0
-14,-30,0.00012543
-14,-29,0.000207714
-14,-28,0.00028899
-14,-27,0.000369078
-14,-26,0.0004478
-14,-25,0.000524977
-14,-24,0.000600433
-14,-23,0.000673995
-14,-22,0.000745492
-14,-21,0.000814756
-14,-20,0.000881621
-14,-19,0.000945926
-14,-18,0.00100751
-14,-17,0.00106623
-14,-16,0.00112194
-14,-15,0.00117448
-14,-14,0.00122374
-14,-13,0.00126954
-14,-12,0.00131168
-14,-11,0.00134959
-14,-10,0.00138182
-14,-9,0.00140446
-14,-8,0.00140856
-14,-7,0.00137691
-14,-6,0.00128301
-14,-5,0.00109707
-14,-4,0.000802706
-14,-3,0.00042003
-14,-2,1.95444e-05
-14,-1,-0.000291557
-14,0,-0.000413594
-14,1,-0.000305699
-14,2,-8.64393e-06
-14,3,0.00037799
-14,4,0.000747104
-14,5,0.00102828
-14,6,0.00120152
-14,7,0.00128327
-14,8,0.00130341
-14,9,0.00128853
-14,10,0.0012559
-14,11,0.00121455
-14,12,0.00116843
-14,13,0.00111909
-14,14,0.00106711
-14,15,0.00101277
-14,16,0.000956265
-14,17,0.000897764
-14,18,0.000837441
-14,19,0.000775468
-14,20,0.000712016
-14,21,0.000647258
-14,22,0.000581366
-14,23,0.000514513
-14,24,0.00044687
-14,25,0.000378606
-14,26,0.000309892
-14,27,0.000240894
-14,28,0.00017178
-14,29,0.000102715
-14,30,3.38611e-05
-14,31,0
-13,-31,0
-13,-30,0.000121495
-13,-29,0.000201035
-13,-28,0.000279598
-13,-27,0.000357007
-13,-26,0.000433089
-13,-25,0.000507671
-13,-24,0.000580584
-13,-23,0.00065166
-13,-22,0.000720732
-13,-21,0.000787638
-13,-20,0.000852219
-13,-19,0.00091432
-13,-18,0.000973788
-13,-17,0.00103048
-13,-16,0.00108425
-13,-15,0.00113496
-13,-14,0.00118247
-13,-13,0.00122658
-13,-12,0.00126678
-13,-11,0.00130158
-13,-10,0.00132636
-13,-9,0.00132852
-13,-8,0.00127891
-13,-7,0.00112124
-13,-6,0.000768702
-13,-5,0.000123736
-13,-4,-0.000867312
-13,-3,-0.00213849
-13,-2,-0.00345864
-13,-1,-0.00447631
-13,0,-0.00486474
-13,1,-0.00449002
-13,2,-0.00348597
-13,3,-0.00217925
-13,4,-0.000921216
-13,5,5.70525e-05
-13,6,0.000689695
-13,7,0.00103045
-13,8,0.00117696
-13,9,0.00121611
-13,10,0.00120425
-13,11,0.00117062
-13,12,0.00112786
-13,13,0.00108064
-13,14,0.00103054
-13,15,0.000978085
-13,16,0.000923516
-13,17,0.000867018
-13,18,0.000808757
-13,19,0.0007489
-13,20,0.000687612
-13,21,0.000625061
-13,22,0.000561412
-13,23,0.000496833
-13,24,0.000431489
-13,25,0.000365545
-13,26,0.000299165
-13,27,0.000232511
-13,28,0.000165744
-13,29,9.90255e-05
-13,30,3.25127e-05
-13,31,0
-12,-31,0
-12,-30,0.000116272
-12,-29,0.000192228
-12,-28,0.000267245
-12,-27,0.000341154
-12,-26,0.00041379
-12,-25,0.000484987
-12,-24,0.000554583
-12,-23,0.000622416
-12,-22,0.000688329
-12,-21,0.000752166
-12,-20,0.000813776
-12,-19,0.00087301
-12,-18,0.000929724
-12,-17,0.000983779
-12,-16,0.00103504
-12,-15,0.00108337
-12,-14,0.0011286
-12,-13,0.00117037
-12,-12,0.00120747
-12,-11,0.00123575
-12,-10,0.001242
-12,-9,0.00119
-12,-8,0.000995459
-12,-7,0.000495635
-12,-6,-0.000560521
-12,-5,-0.00245528
-12,-4,-0.00534385
-12,-3,-0.00903537
-12,-2,-0.0128609
-12,-1,-0.0158037
-12,0,-0.0169181
-12,1,-0.0158168
-12,2,-0.0128871
-12,3,-0.00907441
-12,4,-0.00539549
-12,5,-0.00251917
-12,6,-0.000636217
-12,7,0.000408646
-12,8,0.000897769
