i,j,value
-21,-14,0.00625475
-21,-13,0.00722121
-21,-12,0.0082374
-21,-11,0.00928604
-21,-10,0.0103468
-21,-9,0.0113972
-21,-8,0.0124129
-21,-7,0.0133692
-21,-6,0.0142419
-21,-5,0.0150082
-21,-4,0.0156478
-21,-3,0.016144
-21,-2,0.0164842
-21,-1,0.0166603
-21,0,0.0166695
-21,1,0.0165137
-21,2,0.0161999
-21,3,0.0157392
-21,4,0.0151465
-21,5,0.0144397
-21,6,0.0136388
-21,7,0.012765
-21,8,0.0118397
-21,9,0.0108841
-21,10,0.00991806
-21,11,0.00895964
-21,12,0.00802478
-21,13,0.00712691
-21,14,0.00627681
-21,15,0.00548262
-21,16,0.0047499
-21,17,0.00408184
-21,18,0.0034795
-21,19,0.00294209
-21,20,0.00246729
-21,21,0.00205152
-21,22,0.00169028
-21,23,0.00137836
-21,24,0.00111007
-21,25,0.000879409
-21,26,0.000680207
-21,27,0.000506198
-21,28,0.000351078
-21,29,0.000208526
-21,30,7.22118e-05
-21,31,0
-20,-31,0
-20,-30,8.24303e-05
-20,-29,0.000150906
-20,-28,0.000235792
-20,-27,0.000343583
-20,-26,0.000481477
-20,-25,0.000657379
-20,-24,0.000879816
-20,-23,0.00115776
-20,-22,0.00150032
-20,-21,0.00191641
-20,-20,0.0024142
-20,-19,0.00300058
-20,-18,0.00368057
-20,-17,0.00445667
-20,-16,0.00532831
-20,-15,0.00629132
-20,-14,0.00733758
-20,-13,0.00845483
-20,-12,0.00962673
-20,-11,0.0108331
-20,-10,0.0120504
-20,-9,0.0132526
-20,-8,0.014412
-20,-7,0.0155003
-20,-6,0.0164901
-20,-5,0.0173555
-20,-4,0.0180739
-20,-3,0.0186266
-20,-2,0.0189995
-20,-1,0.0191843
-20,0,0.0191781
-20,1,0.0189836
-20,2,0.0186091
-20,3,0.0180677
-20,4,0.0173769
-20,5,0.0165571
-20,6,0.0156313
-20,7,0.0146238
-20,8,0.013559
-20,9,0.012461
-20,10,0.0113523
-20,11,0.0102534
-20,12,0.00918241
-20,13,0.00815441
-20,14,0.0071816
-20,15,0.00627309
-20,16,0.00543514
-20,17,0.00467126
-20,18,0.00398259
-20,19,0.00336814
-20,20,0.00282522
-20,21,0.00234972
-20,22,0.00193647
-20,23,0.0015795
-20,24,0.00127232
-20,25,0.00100808
-20,26,0.000779734
-20,27,0.000580156
-20,28,0.00040217
-20,29,0.000238597
-20,30,8.22582e-05
-20,31,0
-19,-31,0
-19,-30,9.93613e-05
-19,-29,0.000181314
-19,-28,0.000282471
-19,-27,0.000410386
-19,-26,0.000573383
-19,-25,0.000780544
-19,-24,0.00104161
-19,-23,0.00136674
-19,-22,0.00176624
-19,-21,0.00225003
-19,-20,0.00282714
-19,-19,0.0035051
-19,-18,0.00428917
-19,-17,0.00518174
-19,-16,0.00618165
-19,-15,0.00728363
-19,-14,0.00847798
-19,-13,0.00975032
-19,-12,0.0110817
-19,-11,0.012449
-19,-10,0.0138253
-19,-9,0.0151811
-19,-8,0.0164852
-19,-7,0.0177058
-19,-6,0.018812
-19,-5,0.0197754
-19,-4,0.0205706
-19,-3,0.0211773
-19,-2,0.0215802
-19,-1,0.0217703
-19,0,0.0217451
-19,1,0.0215081
-19,2,0.0210692
-19,3,0.0204435
-19,4,0.0196508
-19,5,0.0187145
-19,6,0.0176604
-19,7,0.016516
-19,8,0.0153087
