i,j,value
-22,-28,-0.000741798
-22,-27,-0.00116753
-22,-26,-0.00175763
-22,-25,-0.0025748
-22,-24,-0.00369714
-22,-23,-0.00522046
-22,-22,-0.00726005
-22,-21,-0.00995162
-22,-20,-0.0134509
-22,-19,-0.0179317
-22,-18,-0.0235811
-22,-17,-0.0305929
-22,-16,-0.0391576
-22,-15,-0.0494489
-22,-14,-0.061608
-22,-13,-0.0757245
-22,-12,-0.0918171
-22,-11,-0.109812
-22,-10,-0.129528
-22,-9,-0.150656
-22,-8,-0.172762
-22,-7,-0.195282
-22,-6,-0.217541
-22,-5,-0.238783
-22,-4,-0.258209
-22,-3,-0.275034
-22,-2,-0.288539
-22,-1,-0.298135
-22,0,-0.303407
-22,1,-0.304151
-22,2,-0.300391
-22,3,-0.292371
-22,4,-0.280527
-22,5,-0.265447
-22,6,-0.247818
-22,7,-0.228372
-22,8,-0.207834
-22,9,-0.186881
-22,10,-0.166111
-22,11,-0.146023
-22,12,-0.127007
-22,13,-0.109345
-22,14,-0.0932195
-22,15,-0.0787249
-22,16,-0.0658809
-22,17,-0.0546488
-22,18,-0.044946
-22,19,-0.0366596
-22,20,-0.0296579
-22,21,-0.0237998
-22,22,-0.0189425
-22,23,-0.0149467
-22,24,-0.0116802
-22,25,-0.00901967
-22,26,-0.00685178
-22,27,-0.00507244
-22,28,-0.00358569
-22,29,-0.00230182
-22,30,-0.0011349
-22,31,0
-21,-31,0
-21,-30,-0.00025337
-21,-29,-0.000561374
-21,-28,-0.000965423
-21,-27,-0.00151663
-21,-26,-0.00227907
-21,-25,-0.00333318
-21,-24,-0.00477908
-21,-23,-0.00673964
-21,-22,-0.00936284
-21,-21,-0.0128232
-21,-20,-0.0173216
-21,-19,-0.0230826
-21,-18,-0.0303496
-21,-17,-0.039376
-21,-16,-0.0504127
-21,-15,-0.0636918
-21,-14,-0.0794056
-21,-13,-0.097682
-21,-12,-0.118559
-21,-11,-0.141954
-21,-10,-0.167643
-21,-9,-0.195237
-21,-8,-0.22417
-21,-7,-0.253701
-21,-6,-0.282935
-21,-5,-0.310856
-21,-4,-0.336384
-21,-3,-0.358451
-21,-2,-0.376078
-21,-1,-0.38846
-21,0,-0.395036
-21,1,-0.395543
-21,2,-0.390034
-21,3,-0.378869
-21,4,-0.362673
-21,5,-0.342273
-21,6,-0.318622
-21,7,-0.292719
-21,8,-0.265544
-21,9,-0.237995
-21,10,-0.210851
-21,11,-0.184748
-21,12,-0.160175
-21,13,-0.137472
-21,14,-0.116848
-21,15,-0.0983975
-21,16,-0.0821203
-21,17,-0.067945
-21,18,-0.0557472
-21,19,-0.0453674
-21,20,-0.036626
-21,21,-0.0293348
-21,22,-0.0233064
-21,23,-0.01836
-21,24,-0.014326
-21,25,-0.0110476
-21,26,-0.00838168
-21,27,-0.00619776
-21,28,-0.00437637
-21,29,-0.00280648
-21,30,-0.00138235
-21,31,0
-20,-31,0
-20,-30,-0.000325454
-20,-29,-0.000719783
-20,-28,-0.00123558
-20,-27,-0.00193757
-20,-26,-0.00290675
-20,-25,-0.00424471
-20,-24,-0.0060779
-20,-23,-0.00856159
-20,-22,-0.0118831
-20,-21,-0.0162639
-20,-20,-0.0219594
-20,-19,-0.0292568
-20,-18,-0.0384687
-20,-17,-0.0499233
-20,-16,-0.0639485
-20,-15,-0.0808521
-20,-14,-0.100895
-20,-13,-0.124261
-20,-12,-0.151018
-20,-11,-0.181088
-20,-10,-0.214202
-20,-9,-0.249876
-20,-8,-0.287391
-20,-7,-0.325787
-20,-6,-0.363884
-20,-5,-0.400328
-20,-4,-0.433669
-20,-3,-0.462454
-20,-2,-0.485347
-20,-1,-0.50125
-20,0,-0.509403
-20,1,-0.509463
-20,2,-0.501532
-20,3,-0.486137
-20,4,-0.46417
-20,5,-0.43679
-20,6,-0.405315
-20,7,-0.371105
-20,8,-0.335469
-20,9,-0.299588
-20,10,-0.264466
-20,11,-0.230904
-20,12,-0.199498
-20,13,-0.170648
-20,14,-0.144581
-20,15,-0.121379
-20,16,-0.101008
-20,17,-0.0833457
-20,18,-0.0682099
-20,19,-0.0553789
-20,20,-0.0446111
-20,21,-0.0356586
-20,22,-0.0282785
-20,23,-0.0222393
-20,24,-0.0173263
-20,25,-0.0133425
-20,26,-0.0101098
-20,27,-0.00746673
-20,28,-0.00526663
-20,29,-0.00337391
-20,30,-0.00166022
-20,31,0
-19,-31,0
-19,-30,-0.000411093
-19,-29,-0.000907628
-19,-28,-0.00155534
-19,-27,-0.00243491
-19,-26,-0.00364714
-19,-25,-0.0053184
-19,-24,-0.00760603
-19,-23,-0.0107035
-19,-22,-0.0148445
-19,-21,-0.0203062
-19,-20,-0.0274095
-19,-19,-0.036517
-19,-18,-0.0480259
-19,-17,-0.0623565
-19,-16,-0.0799342
-19,-15,-0.101164
-19,-14,-0.1264
-19,-13,-0.155902
-19,-12,-0.189793
-19,-11,-0.22801
-19,-10,-0.27025
-19,-9,-0.315928
-19,-8,-0.364144
-19,-7,-0.413672
-19,-6,-0.462975
